,team1_home,team1_bat,csk,dch,dca,dd,gl,kxip,kt,kkr,mi,pw,rr,rps,rcb,srh,team1_win_percentage,team2_win_percentage,team1_win
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6783394138737882,0.734748691448556,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6765825542420099,0.7363667885608082,0
2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.877626037611117,0.47934594825346144,0
3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.8314875760111814,0.5555433474887893,0
4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6574580010862748,0.7534911922561801,0
5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.844212815247804,0.5360081366652723,0
6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7284116862935497,0.6851397049295764,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7772164561609503,0.6292333273695964,0
8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6025793567533265,0.7980589695096142,1
9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.7348632161793031,0.6782153444936283,0
10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7841677223992383,0.6205489369479182,0
11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5703425440642038,0.821406952996121,0
12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9935326726564041,0.1135465911607319,0
13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5498805081092958,0.8352433338862769,1
14,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5570572676350319,0.8304740818201326,1
15,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.7939857911292089,0.6079363153200542,0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.8350607839462088,0.5501576929527963,0
17,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.494366991708501,0.8692532873156632,0
18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6770220198297616,0.735962760379647,0
19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9905468485254832,0.13717485511650274,0
20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7102918982142697,0.7039072519381863,0
21,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5757421266852994,0.8176313371929237,0
22,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.47934594825346144,0.877626037611117,0
23,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7725951487922619,0.6348989967409482,1
24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7055301833055501,0.7086798716238785,0
25,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.9906136218491759,0.13669181470321415,1
26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6219203454236651,0.7830805092377854,1
27,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.7254204999153147,0.6883059627103452,0
28,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.7153411651777002,0.6987753697735849,0
29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4812588121927184,0.8765785507795943,0
30,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.7551742143941894,0.655524145942862,0
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.8303417635287521,0.5572544802331892,0
32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.7712736349824462,0.6365037156065662,0
33,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.7939857911292089,0.6079363153200542,0
34,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.7488993139903786,0.6626837990359657,0
35,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6150156984675392,0.788514863929961,0
36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6682184229150424,0.7439651465471575,0
37,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.7682212795973759,0.6401843996644798,0
38,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.873236281146864,0.4872970318899911,0
39,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5481721179163851,0.8363655475562495,0
40,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.9074669071198411,0.4201235681110375,0
41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7826010541756487,0.6225235658215386,1
42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7954317200324987,0.6060432152628561,0
43,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8629594860892883,0.5052731195784231,1
44,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5591551090571916,0.829063063955475,0
45,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4864579113968642,0.8737040119167363,0
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.779731064276236,0.6261145800910951,0
47,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5645493580916978,0.8253993108055349,1
48,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.14965594215450898,0.9887381346837221,0
49,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6695472013857222,0.7427695100881209,1
50,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4856429311786321,0.8741572761215378,1
51,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.11404691689387295,0.9934753649421822,0
52,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.822786528217372,0.5683505335477427,1
53,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6378643573675797,0.7701487269352878,0
54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8295458535994696,0.5584386060937472,0
